dn,rio,bar,alt
2011.02.13.17.38,fsim,2,
2011.02.13.17.38,fsmi,2,
2011.02.13.17.38,gill,2,
2011.02.13.17.38,isll,2,
2011.02.13.17.38,mcmu,,0.5
2011.02.13.17.38,ott,,0.75
2011.02.13.17.38,pina,2,
2011.02.13.17.38,rabb,,0.4
2011.02.13.17.38,rank,2,
2011.02.13.17.38,sps,,1.1
2011.02.13.17.38,talo,2,
2011.03.08.18.28,daws,3,
2011.03.08.18.28,fsim,3,
2011.03.08.18.28,fsmi,3,
2011.03.08.18.28,gill,3,
2011.03.08.18.28,isll,3,
2011.03.08.18.28,mcmu,3,
2011.03.08.18.28,ott,,1.9
2011.03.08.18.28,pina,3,
2011.03.08.18.28,rabb,3,
2011.03.08.18.28,rank,3,
2011.03.08.18.28,sps,,2.1
2011.03.08.18.28,talo,3,
2011.03.09.23.22,daws,3,
2011.03.09.23.22,daws,3,
2011.03.09.23.22,fsim,3,
2011.03.09.23.22,fsmi,3,
2011.03.09.23.22,gill,3,
2011.03.09.23.22,isll,3,
2011.03.09.23.22,mcmu,3,
2011.03.09.23.22,pina,3,
2011.03.09.23.22,rabb,3,
2011.09.06.22.20,daws,3,
2011.09.06.22.20,fsim,3,
2011.09.06.22.20,fsmi,3,
2011.09.06.22.20,gill,3,
2011.09.06.22.20,isll,,1.8
2011.09.06.22.20,mcmu,3,
2011.09.06.22.20,pina,3,
2011.09.06.22.20,rabb,3,
2011.09.06.22.20,rank,3,
2011.09.06.22.20,talo,3,
2011.09.07.22.38,daws,3,
2011.09.07.22.38,fsim,3,
2011.09.07.22.38,fsmi,3,
2011.09.07.22.38,gill,3,
2011.09.07.22.38,isll,,1.9
2011.09.07.22.38,pina,3,
2011.09.07.22.38,rabb,3,
2011.09.07.22.38,rank,3,
2011.09.07.22.38,talo,3,
2011.09.08.15.46,fsim,3,
2011.09.08.15.46,fsmi,3,
2011.09.08.15.46,gill,3,
2011.09.08.15.46,mcmu,3,
2011.09.08.15.46,ott,,1.9
2011.09.08.15.46,pina,3,
2011.09.08.15.46,rabb,3,
2011.09.08.15.46,talo,3,
2011.09.24.20.36,daws,3,
2011.09.24.20.36,fsim,3,
2011.09.24.20.36,fsmi,3,
2011.09.24.20.36,gill,3,
2011.09.24.20.36,mcmu,3,
2011.09.24.20.36,pina,3,
2011.09.24.20.36,rabb,3,
2011.09.24.20.36,rank,3,
2011.09.24.20.36,talo,3,
2011.11.03.20.27,daws,3,
2011.11.03.20.27,fsim,3,
2011.11.03.20.27,fsmi,3,
2011.11.03.20.27,gill,3,
2011.11.03.20.27,mcmu,3,
2011.11.03.20.27,pina,3,
2011.11.03.20.27,rabb,3,
2012.01.27.18.37,fsim,3,
2012.01.27.18.37,fsmi,3,
2012.01.27.18.37,gill,3,
2012.01.27.18.37,isll,3,
2012.01.27.18.37,mcmu,3,
2012.01.27.18.37,pina,3,
2012.01.27.18.37,rabb,3,
2012.01.27.18.37,rank,3,
2013.05.13.16.05,daws,3,
2013.05.13.16.05,fsim,3,
2013.05.13.16.05,ott,3,
2013.05.13.16.05,pina,3,
2013.05.13.16.05,talo,3,
2013.05.14.01.11,fsim,3,
2013.10.29.21.54,fsmi,3,
2013.10.29.21.54,pina,3,
2013.11.05.22.12,fsim,3,
2014.03.29.17.48,daws,3,
2014.03.29.17.48,fsim,3,
2014.03.29.17.48,ott,3,
2014.03.29.17.48,pina,3,
2014.06.10.11.42,ott,3,
2014.06.10.12.52,ott,3,
2015.03.11.16.22,fsim,3,
2015.03.11.16.22,fsim,3,
2015.03.11.16.22,ott,3,
2015.03.11.16.22,rank,3,
2015.03.11.16.22,fsim,3,
2017.09.06.12.02,talo,1,
2017.09.06.12.02,rank,1,
2017.09.06.12.02,gill,,1
